data:text/csv;charset=utf-8,
id_ibge,location,year,wage,num_jobs,wage_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_est,num_jobs_est,cnae_display,bra_rca,wld_rca
4209102,"Joinville",2023,10844.99,4,2711.25,-0.233,-0.371,-0.2,-0.366,"5sc010107","c17494",0.054,0.742,-0.076,"c","c17","c17494",237,38.294,0,0,"17494",false,false
4209102,"Joinville",2023,24626.52,7,3518.07,0.062,0.429,0.167,0.476,"5sc010107","c18113",0.1,0.717,-0.147,"c","c18","c18113",227,25.988,0,0,"18113",false,false
4209102,"Joinville",2023,3070.33,2,1535.17,0.048,0,0,0,"5sc010107","c18121",0.013,0.75,0.185,"c","c18","c18121",175,23.768,0,0,"18121",false,false
4209102,"Joinville",2023,1454264.3,454,3203.23,0.217,0.075,0.046,0,"5sc010107","c18130",2.166,0.687,0.102,"c","c18","c18130",356,35.637,0,0,"18130",true,false
4209102,"Joinville",2023,308032.59,73,4219.63,-0.657,-0.001,-0.752,-0.057,"5sc010107","c18211",2.302,0.705,-0.027,"c","c18","c18211",230,38.825,0,0,"18211",true,false
4209102,"Joinville",2023,28165.26,12,2347.11,0.16,0.264,0.091,0.191,"5sc010107","c18229",0.25,0.7,-0.02,"c","c18","c18229",218,32.535,0,0,"18229",false,false
4209102,"Joinville",2023,2024,1,2024,-0.493,-0.195,-0.5,-0.242,"5sc010107","c18300",0.052,0.755,0.022,"c","c18","c18300",110,37.022,0,0,"18300",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c19101",0,0.775,-0.062,"c","c19","c19101",67,29.479,0,0,"19101",false,false
4209102,"Joinville",2023,4214.33,1,4214.33,0,0,0,0,"5sc010107","c19217",0.001,0.797,-0.117,"c","c19","c19217",202,36.951,0,0,"19217",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c19225",0,0.757,-0.261,"c","c19","c19225",205,46.774,0,0,"19225",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c19314",0,0.78,0.229,"c","c19","c19314",323,37.873,0,0,"19314",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c19322",0,0.778,0.1,"c","c19","c19322",158,47.238,0,0,"19322",false,false
4209102,"Joinville",2023,35279.52,11,3207.23,0.036,0.076,0.1,0.041,"5sc010107","c20118",0.541,0.77,-0.118,"c","c20","c20118",101,35.533,0,0,"20118",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c20126",0,0.765,0,"c","c20","c20126",150,41.65,0,0,"20126",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c20134",0,0.77,0.089,"c","c20","c20134",313,46.702,0,0,"20134",false,false
4209102,"Joinville",2023,394192.69,47,8387.08,0.069,0.052,0.022,-0.004,"5sc010107","c20142",1.861,0.762,-0.141,"c","c20","c20142",142,47.046,0,0,"20142",true,false
4209102,"Joinville",2023,22792.56,7,3256.08,0.026,0.057,0,0,"5sc010107","c20193",0.075,0.76,-0.096,"c","c20","c20193",240,62.826,0,0,"20193",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c20215",0,0.773,-0.174,"c","c20","c20215",116,23.886,0,0,"20215",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c20223",0,0.758,-0.308,"c","c20","c20223",104,32.001,0,0,"20223",false,false
4209102,"Joinville",2023,454756.11,42,10827.53,0.24,0.104,0.167,0.049,"5sc010107","c20291",0.768,0.76,-0.008,"c","c20","c20291",235,53.743,0,0,"20291",false,false
4209102,"Joinville",2023,21383.86,6,3563.98,-0.029,-0.002,-0.143,-0.097,"5sc010107","c20312",0.06,0.753,-0.187,"c","c20","c20312",199,52.408,0,0,"20312",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c20321",0,0.754,-0.327,"c","c20","c20321",143,45.464,0,0,"20321",false,false
4209102,"Joinville",2023,881576.6,280,3148.49,12.216,0,9,0,"5sc010107","c20339",15.26,0.754,-0.201,"c","c20","c20339",125,39.938,0,0,"20339",true,false
